date,campaign_id,campaign_name,channel,region,weather_severity_index,impressions,clicks,spend_cad,conversions,revenue_cad,cpm_cad,cpc_cad,roas
2025-12-22,CMP1002,Premium_Upgrade_Q1,Connected TV,Quebec,0.871,48337,951.5,702.84,22.1,1481.14,14.54,0.739,2.107
2025-11-29,CMP1004,Brand_Lift_National,Connected TV,Quebec,0.374,36764,539.9,248.47,25.07,1746.93,6.76,0.46,7.031
2025-12-11,CMP1006,Spring_Forecast_Launch,Display,British Columbia,0.982,83195,1353.7,759.46,56.94,2276.05,9.13,0.561,2.997
2025-12-29,CMP1007,B2B_Partner_Coop,Native,Quebec,0.631,28025,393.2,192.39,14.2,1242.95,6.86,0.489,6.461
2026-01-25,CMP1001,App_Download_Push,Connected TV,Ontario,0.644,27829,163.5,241.77,7.48,341.87,8.69,1.479,1.414
2026-02-22,CMP1002,Premium_Upgrade_Q1,Native,Atlantic,0.625,11868,100.9,82.78,0.73,62.53,6.98,0.82,0.755
2025-11-17,CMP1003,Severe_Weather_Awareness,Native,Quebec,0.137,66151,991.5,612.47,47.27,3206.33,9.26,0.618,5.235
2026-03-26,CMP1002,Premium_Upgrade_Q1,Search,Atlantic,0.595,66899,669.7,696.72,20.42,1612.77,10.41,1.04,2.315
2026-04-25,CMP1001,App_Download_Push,Video,Ontario,0.536,43849,926.7,485.54,38.86,2664.81,11.07,0.524,5.488
2026-03-14,CMP1000,Winter_Storm_Alert_Promo,Display,Quebec,0.557,91035,2148.9,628.29,91.19,6240.76,6.9,0.292,9.933
2026-04-06,CMP1006,Spring_Forecast_Launch,Video,Ontario,0.315,48271,683.4,429.05,16.06,1178.0,8.89,0.628,2.746
2026-02-19,CMP1007,B2B_Partner_Coop,Search,British Columbia,0.729,71098,1355.7,784.22,90.77,5979.09,11.03,0.578,7.624
2026-01-07,CMP1007,B2B_Partner_Coop,Connected TV,Ontario,1.0,44882,488.9,311.9,19.62,1367.61,6.95,0.638,4.385
2025-12-19,CMP1007,B2B_Partner_Coop,Connected TV,Atlantic,0.843,59852,591.8,480.97,36.11,2477.63,8.04,0.813,5.151
2026-02-07,CMP1000,Winter_Storm_Alert_Promo,Connected TV,British Columbia,0.895,50105,964.0,341.82,46.54,2616.99,6.82,0.355,7.656
2026-01-21,CMP1005,Local_News_Sponsorship,Native,British Columbia,0.92,31821,540.7,221.04,15.48,856.03,6.95,0.409,3.873
2026-02-13,CMP1001,App_Download_Push,Connected TV,Quebec,0.8,61898,238.3,360.37,7.4,709.51,5.82,1.512,1.969
2026-01-20,CMP1005,Local_News_Sponsorship,Search,Quebec,0.941,38429,827.0,350.43,39.02,2727.1,9.12,0.424,7.782
2025-12-19,CMP1005,Local_News_Sponsorship,Connected TV,Atlantic,0.843,63913,1540.0,184.76,44.21,2145.03,2.89,0.12,11.61
2026-04-03,CMP1000,Winter_Storm_Alert_Promo,Display,Alberta,0.601,58087,827.9,634.36,14.44,1102.53,10.92,0.766,1.738
2026-02-10,CMP1000,Winter_Storm_Alert_Promo,Native,Alberta,0.709,69926,1605.6,1065.66,39.95,3295.68,15.24,0.664,3.093
2026-01-25,CMP1001,App_Download_Push,Display,Quebec,0.644,19506,228.9,139.72,7.94,566.65,7.16,0.61,4.056
2026-04-08,CMP1000,Winter_Storm_Alert_Promo,Connected TV,Alberta,0.4,70432,2170.2,744.54,73.87,5229.25,10.57,0.343,7.023
2026-01-02,CMP1003,Severe_Weather_Awareness,Connected TV,Ontario,0.632,70142,1466.8,407.65,57.3,7196.15,5.81,0.278,17.653
2025-11-27,CMP1000,Winter_Storm_Alert_Promo,Video,Quebec,0.377,71956,954.6,298.83,23.06,1645.73,4.15,0.313,5.507
2026-02-21,CMP1001,App_Download_Push,Search,Alberta,0.763,65639,1138.5,497.97,15.58,1155.47,7.59,0.437,2.32
2026-01-26,CMP1005,Local_News_Sponsorship,Native,Ontario,0.704,45209,757.0,558.49,18.59,1588.52,12.35,0.738,2.844
2026-02-23,CMP1007,B2B_Partner_Coop,Display,Alberta,0.77,49424,441.3,118.65,10.86,762.35,2.4,0.269,6.425
2026-03-14,CMP1004,Brand_Lift_National,Video,Ontario,0.557,48408,152.3,281.95,2.84,229.77,5.82,1.851,0.815
2025-11-27,CMP1003,Severe_Weather_Awareness,Display,Quebec,0.377,53990,990.4,443.31,42.43,1860.42,8.21,0.448,4.197
2025-12-01,CMP1000,Winter_Storm_Alert_Promo,Native,Quebec,0.68,82491,1985.8,1073.19,83.44,4904.37,13.01,0.54,4.57
2026-01-29,CMP1004,Brand_Lift_National,Native,Alberta,0.875,27250,503.9,249.28,14.92,624.04,9.15,0.495,2.503
2026-01-12,CMP1007,B2B_Partner_Coop,Connected TV,Ontario,0.694,56824,1460.6,534.73,88.2,6683.95,9.41,0.366,12.5
2026-02-12,CMP1000,Winter_Storm_Alert_Promo,Search,British Columbia,0.805,92048,1693.8,855.94,62.5,2906.07,9.3,0.505,3.395
2025-12-14,CMP1001,App_Download_Push,Display,Atlantic,0.816,32479,483.8,269.46,16.41,1454.16,8.3,0.557,5.396
2026-01-06,CMP1005,Local_News_Sponsorship,Display,Alberta,0.77,56699,1106.0,556.21,75.47,4758.93,9.81,0.503,8.556
2025-11-19,CMP1004,Brand_Lift_National,Search,Quebec,0.142,55118,1370.6,347.72,47.89,3215.48,6.31,0.254,9.247
2025-12-26,CMP1001,App_Download_Push,Display,Alberta,0.931,53151,804.9,603.87,23.08,712.17,11.36,0.75,1.179
2025-12-12,CMP1006,Spring_Forecast_Launch,Display,Ontario,0.819,53697,750.7,330.64,26.91,371.35,6.16,0.44,1.123
2026-04-26,CMP1000,Winter_Storm_Alert_Promo,Search,Alberta,0.419,62589,921.0,596.05,38.08,3222.83,9.52,0.647,5.407
2025-11-29,CMP1002,Premium_Upgrade_Q1,Video,Ontario,0.374,25206,420.6,275.56,14.7,1198.58,10.93,0.655,4.35
2025-12-03,CMP1005,Local_News_Sponsorship,Native,British Columbia,0.811,26557,377.7,251.51,16.95,1480.12,9.47,0.666,5.885
2026-02-08,CMP1002,Premium_Upgrade_Q1,Native,Alberta,0.685,77414,279.1,281.96,7.69,535.26,3.64,1.01,1.898
2025-11-25,CMP1000,Winter_Storm_Alert_Promo,Video,Alberta,0.388,44323,754.4,144.06,21.28,1896.26,3.25,0.191,13.163
2026-04-21,CMP1004,Brand_Lift_National,Search,British Columbia,0.505,42664,803.9,377.13,46.87,3282.32,8.84,0.469,8.703
2026-03-19,CMP1006,Spring_Forecast_Launch,Connected TV,Quebec,0.363,38212,38.2,353.89,1.57,96.28,9.26,9.261,0.272
2026-03-19,CMP1003,Severe_Weather_Awareness,Connected TV,Alberta,0.363,55400,1065.7,724.53,43.81,2611.84,13.08,0.68,3.605
2026-03-12,CMP1006,Spring_Forecast_Launch,Video,Ontario,0.555,56280,1132.1,482.26,52.1,3544.07,8.57,0.426,7.349
2025-12-22,CMP1002,Premium_Upgrade_Q1,Native,Atlantic,0.871,55371,1048.3,1122.02,38.79,2207.58,20.26,1.07,1.968
2026-04-17,CMP1004,Brand_Lift_National,Video,Alberta,0.65,63298,599.7,545.65,7.69,642.19,8.62,0.91,1.177
2025-12-17,CMP1005,Local_News_Sponsorship,Search,British Columbia,0.82,47049,560.7,348.2,31.78,1685.28,7.4,0.621,4.84
2026-02-02,CMP1002,Premium_Upgrade_Q1,Video,British Columbia,0.952,61332,1294.9,503.63,60.0,5882.37,8.21,0.389,11.68
2026-01-12,CMP1000,Winter_Storm_Alert_Promo,Display,British Columbia,0.694,61987,774.0,407.81,37.19,1822.6,6.58,0.527,4.469
2026-03-14,CMP1004,Brand_Lift_National,Connected TV,Ontario,0.557,61088,471.7,508.41,18.03,1235.46,8.32,1.078,2.43
2025-11-30,CMP1003,Severe_Weather_Awareness,Display,Alberta,0.151,57180,793.0,1223.77,48.29,1457.68,21.4,1.543,1.191
