user_id,signup_date,acquisition_channel,region,plan_type,avg_monthly_sessions,alerts_enabled,push_notifications_enabled,tenure_months,churned,churn_date,ltv_cad
U100452,2024-12-10,Native,Atlantic,Free,0.85,1,0,12.9,0,,0.0
U101657,2025-11-24,Referral,Ontario,Free,5.9,1,1,1.27,0,,0.0
U100062,2024-12-03,Organic,Ontario,Premium,0.27,0,0,13.13,0,,304.5
U102057,2024-12-12,Organic,Quebec,Plus,11.41,1,0,12.83,0,,142.87
U102447,2025-08-08,Native,British Columbia,Plus,9.64,1,1,4.87,0,,75.26
U101629,2025-03-16,Search,Quebec,Free,2.37,1,0,9.7,1,2025-11-28,0.0
U100932,2025-09-15,Display,Alberta,Premium,9.17,1,1,3.6,0,,137.68
U101819,2025-06-30,Search,Ontario,Plus,3.26,1,0,6.17,0,,102.07
U101784,2024-10-08,Organic,British Columbia,Free,17.67,1,1,15.0,1,2025-03-30,0.0
U101094,2024-06-13,Connected TV,Quebec,Free,11.33,1,1,18.9,1,2024-10-14,0.0
U102921,2025-11-23,Referral,Ontario,Premium,32.06,1,0,1.3,1,2025-12-24,32.38
U102902,2025-11-18,Organic,,Free,,1,0,1.47,1,2025-11-25,0.0
U100078,2025-01-19,Organic,Alberta,Plus,6.1,1,0,11.57,0,,152.55
U101499,2025-09-04,Display,Ontario,Free,7.99,0,0,3.97,0,,0.0
U102007,2024-08-14,Native,Ontario,Free,5.59,1,1,16.83,0,,0.0
U100289,2025-10-02,Native,Alberta,Free,6.33,1,0,3.03,1,2025-10-09,0.0
U100782,2025-07-06,Video,Quebec,Free,9.46,0,0,5.97,1,2025-12-03,0.0
U102388,2024-12-18,Connected TV,Ontario,Plus,3.43,1,0,12.63,1,2025-06-08,60.1
U102276,2025-02-12,Display,Ontario,Plus,3.92,1,1,10.77,0,,55.8
U101214,2025-09-06,Native,British Columbia,Premium,5.74,1,0,3.9,0,,135.19
U100117,2024-07-10,Display,Quebec,Plus,3.14,0,0,18.0,1,2025-09-16,84.54
U100268,2025-01-31,Video,British Columbia,Premium,9.66,1,0,11.17,1,2025-06-03,131.46
U102828,2024-11-11,Search,Ontario,Free,1.8,0,0,13.87,1,2025-03-09,0.0
U101155,2025-03-13,Organic,Quebec,Free,9.85,1,1,9.8,1,2025-10-22,0.0
U102051,2025-03-03,Search,Quebec,Plus,8.2,1,1,10.13,1,2025-03-19,6.63
U102349,2025-05-23,Display,Ontario,Plus,7.77,0,0,7.43,0,,96.84
U101396,2025-06-06,Referral,Ontario,Free,12.37,0,1,6.97,1,2025-11-11,0.0
U102843,2024-08-20,Referral,Ontario,FREE,3.63,0,0,16.63,0,,0.0
U100380,2024-12-31,Display,British Columbia,Free,15.66,0,1,12.2,0,,0.0
U101870,2025-09-23,Organic,Ontario,Premium,20.99,0,0,3.33,0,,104.17
U102879,2025-06-28,Search,Alberta,Free,18.0,1,1,6.23,0,,0.0
U102665,2024-12-25,Display,Quebec,Plus,6.17,1,1,12.4,0,,133.26
U100706,2025-05-03,Search,Quebec,Plus,4.34,1,1,8.1,0,,109.51
U102134,2025-05-19,Organic,Quebec,Plus,7.4,1,0,7.57,0,,86.47
U100374,2025-05-11,Display,Ontario,Free,1.77,1,0,7.83,0,,0.0
U100391,2025-06-30,Referral,British Columbia,Free,8.17,1,1,6.17,1,2025-08-04,0.0
U101621,2025-11-14,Connected TV,Ontario,Free,5.2,0,1,1.6,0,,0.0
U102153,2024-11-17,Referral,Atlantic,Premium,1.5,1,0,13.67,1,2025-03-17,116.54
U101788,2024-12-23,Connected TV,Ontario,Free,6.0,0,1,12.47,1,2025-02-09,0.0
U101194,2025-03-12,Display,Ontario,Plus,6.1,1,0,9.83,0,,107.52
U100121,2025-06-16,Video,Ontario,Plus,7.82,1,0,6.63,0,,118.65
U102981,2025-02-22,Organic,Ontario,Free,7.66,1,1,10.43,0,,0.0
U100640,2024-06-05,Connected TV,Ontario,Free,8.03,1,1,19.17,0,,0.0
U100501,2024-11-21,Organic,Ontario,Free,20.37,1,1,13.53,0,,0.0
U100142,2024-07-05,Organic,Quebec,Free,2.47,1,1,18.17,1,2025-03-07,0.0
U101197,2024-07-03,Search,Quebec,Plus,3.57,0,1,18.23,0,,218.25
U102422,2024-10-11,Search,British Columbia,Free,11.14,0,1,14.9,0,,0.0
U101729,2025-11-01,Video,Quebec,Plus,1.35,1,0,2.03,0,,25.53
U101418,2024-11-27,Video,Quebec,Free,7.45,1,0,13.33,0,,0.0
U101560,2025-10-19,Search,Ontario,Free,23.5,1,0,2.47,0,,0.0
U101679,2024-08-17,Native,Ontario,Free,5.85,0,0,16.73,0,,0.0
U100946,2025-10-03,Organic,Alberta,Plus,11.75,1,1,3.0,0,,27.78
U102915,2025-06-02,Referral,Atlantic,Premium,3.24,1,1,7.1,0,,205.59
U100132,2025-02-27,Organic,Quebec,Free,7.91,1,0,10.27,0,,0.0
U102766,2024-08-03,Connected TV,Quebec,Free,4.55,1,1,17.2,0,,0.0
U102595,2024-09-19,Video,Alberta,Free,3.77,1,0,15.63,0,,0.0
U101972,2025-04-29,Organic,British Columbia,Free,1.91,1,0,8.23,0,,0.0
U100338,2025-01-26,Display,Ontario,Premium,20.79,1,0,11.33,0,,476.94
U100912,2024-10-12,Referral,British Columbia,Plus,11.79,1,0,14.87,0,,203.37
U102336,2025-11-25,Video,British Columbia,Plus,2.09,1,1,1.23,0,,13.83
U100275,2025-07-28,Connected TV,Alberta,Plus,3.97,1,1,5.23,0,,79.44
U100773,2025-02-28,Search,Atlantic,Free,2.21,1,0,10.23,1,2025-04-25,0.0
U100293,2025-06-14,Connected TV,Quebec,Free,5.87,1,0,6.7,0,,0.0
U100670,2024-06-04,Display,British Columbia,Premium,4.49,1,1,19.2,1,2025-06-09,349.19
U101700,2025-05-31,Native,British Columbia,Free,6.54,1,1,7.17,0,,0.0
U102323,2025-02-14,Native,Ontario,Free,1.76,0,0,10.7,1,2025-09-28,0.0
U102221,2024-07-30,Display,Quebec,Plus,6.86,1,1,17.33,0,,141.93
U102146,2024-12-12,Display,Alberta,Free,1.88,0,0,12.83,1,2025-09-20,0.0
U102882,2025-06-28,Search,Ontario,Free,2.73,1,1,6.23,1,2025-08-21,0.0
U101530,2025-04-18,Organic,British Columbia,Free,4.58,0,1,8.6,0,,0.0
U100326,2024-07-19,Display,Quebec,Plus,12.2,1,1,17.7,0,,156.74
U102265,2025-06-16,Connected TV,Alberta,Plus,3.15,1,1,6.63,0,,94.42
U101333,2025-04-14,Organic,Quebec,Free,6.19,1,1,8.73,0,,0.0
U101331,2024-06-16,Referral,Quebec,Free,4.14,1,1,18.8,0,,0.0
U100455,2024-12-03,Search,British Columbia,Free,4.43,0,1,13.13,0,,0.0
U100876,2025-06-01,Connected TV,Alberta,Plus,4.25,1,1,7.13,0,,97.29
U100643,2025-01-17,Search,Ontario,Premium,12.34,0,1,11.63,1,2025-05-16,156.26
U101253,2025-01-02,Search,Quebec,Free,5.82,1,0,12.13,1,2025-01-30,0.0
U102495,2025-08-18,Display,Quebec,Plus,2.59,1,1,4.53,1,2025-11-10,34.81
U102710,2024-12-28,Display,Quebec,Free,11.71,1,1,12.3,1,2025-02-16,0.0
U100276,2024-11-30,Display,British Columbia,Free,1.55,1,1,13.23,0,,0.0
U100037,2024-06-14,Native,British Columbia,Plus,5.65,0,1,18.87,0,,202.27
U101925,2025-09-17,Display,Ontario,Plus,16.75,1,1,3.53,0,,41.02
U102684,2025-07-17,Search,Quebec,Free,15.12,1,0,5.6,0,,0.0
U101000,2024-06-13,Search,Alberta,Premium,18.2,1,1,18.9,1,2025-01-18,251.84
U101267,2024-06-05,Search,Quebec,Premium,5.84,1,0,19.17,0,,548.48
U101597,2025-10-21,Search,British Columbia,Plus,10.23,0,0,2.4,1,2025-12-15,33.53
U102298,2024-10-11,Search,Ontario,Plus,9.22,0,1,14.9,0,,125.52
U101774,2024-10-29,Search,Alberta,Plus,5.0,1,1,14.3,0,,240.67
U102250,2024-08-02,Video,Quebec,Free,18.46,1,0,17.23,0,,0.0
U102865,2025-07-06,Search,Ontario,Free,6.78,1,1,5.97,1,2025-11-26,0.0
U100868,2025-06-03,Connected TV,Ontario,Plus,1.22,1,1,7.07,1,2025-10-02,44.47
U100696,2025-10-12,Video,British Columbia,Free,8.71,0,1,2.7,0,,0.0
U100091,2024-12-27,Referral,Atlantic,Free,1.03,1,0,12.33,1,2025-02-27,0.0
U101115,2024-10-09,Connected TV,Quebec,Plus,13.96,0,0,14.97,0,,112.63
U100273,2024-10-09,Organic,British Columbia,Premium,3.85,1,0,14.97,1,2025-12-02,342.27
U101473,2024-07-31,Search,Alberta,Free,4.97,1,1,17.3,0,,0.0
U102272,2024-08-06,Connected TV,Ontario,Premium,2.7,1,1,17.1,0,,605.02
U102308,2025-11-16,Native,British Columbia,Free,3.61,0,0,1.53,0,,0.0
U101873,2025-03-11,Native,Quebec,Premium,14.42,0,1,9.87,0,,294.15
U100103,2025-03-17,Search,Ontario,Plus,7.08,1,1,9.67,0,,135.14
U101996,2025-06-16,Native,British Columbia,Free,3.11,1,1,6.63,0,,0.0
U102549,2025-03-18,Referral,Quebec,Premium,17.88,1,1,9.63,0,,304.19
U100270,2024-07-30,Display,Quebec,Free,6.42,1,0,17.33,1,2025-04-28,0.0
U100008,2025-07-09,Search,Ontario,Plus,7.46,1,1,5.87,0,,61.28
